gender;age;person;became_member_on;income;total_amount;total_rewarded;transactions_num;offers_received;offers_viewed;offers_completed;bogo_received;bogo_viewed;bogo_completed;discount_received;discount_viewed;discount_completed;informational_received;informational_viewed;total_bogo;total_discount;avg_order_size;avg_reward_size;avg_bogo_size;avg_discount_size;offers_rr;offers_cvr;bogo_rr;bogo_cvr;discount_rr;discount_cvr;informational_rr
;;68be06ca386d4c31939f3a4f0e3dd783;2017;;20.4;5.0;9;5.0;5.0;2.0;0.0;0.0;0.0;5.0;5.0;2.0;0.0;0.0;0.0;5.0;2.27;2.5;0.0;2.5;100.0;40.0;0.0;0.0;100.0;40.0;0.0
F;55.0;0610b486422d4921ae7d2bf64640c50b;2017;112000.0;77.01;0.0;3;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;25.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;;38fe809add3b4fcf9315a9694bb96ff5;2018;;14.3;0.0;6;2.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.38;0.0;0.0;0.0;50.0;0.0;100.0;0.0;0.0;0.0;0.0
F;75.0;78afa995795e4d85b5d9ceeca43f5fef;2017;100000.0;159.27;15.0;7;4.0;4.0;2.0;3.0;3.0;2.0;0.0;0.0;0.0;1.0;1.0;15.0;0.0;22.75;7.5;7.5;0.0;100.0;50.0;100.0;66.67;0.0;0.0;100.0
;;a03223e636434f42ac4c3df47e8bac43;2017;;4.6499999999999995;0.0;3;5.0;3.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;2.0;1.0;0.0;0.0;1.55;0.0;0.0;0.0;60.0;0.0;0.0;0.0;66.67;0.0;50.0
M;68.0;e2127556f4f64592b11af22de27a7932;2018;70000.0;57.730000000000004;5.0;3;4.0;3.0;1.0;1.0;1.0;1.0;2.0;2.0;0.0;1.0;0.0;5.0;0.0;19.24;5.0;5.0;0.0;75.0;33.33;100.0;100.0;100.0;0.0;0.0
;;8ec6ce2a7e7949b1bf142def7d0e0586;2017;;0.0;0.0;0;5.0;5.0;0.0;1.0;1.0;0.0;3.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;100.0;0.0;100.0;0.0;100.0
;;68617ca6246f4fbc85e91a2a49552598;2017;;0.24;0.0;2;5.0;4.0;0.0;3.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.12;0.0;0.0;0.0;80.0;0.0;66.67;0.0;100.0;0.0;0.0
M;65.0;389bc3fa690240e798340f5a15918d5c;2018;53000.0;36.43;14.0;3;6.0;6.0;4.0;4.0;4.0;2.0;2.0;2.0;2.0;0.0;0.0;10.0;4.0;12.14;3.5;5.0;2.0;100.0;66.67;100.0;50.0;100.0;100.0;0.0
;;8974fc5686fe429db53ddde067b88302;2016;;15.620000000000001;0.0;6;4.0;3.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.6;0.0;0.0;0.0;75.0;0.0;66.67;0.0;0.0;0.0;100.0
;;c4863c7985cf408faee930f111475da3;2017;;66.41;0.0;9;3.0;3.0;0.0;1.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;7.38;0.0;0.0;0.0;100.0;0.0;100.0;0.0;100.0;0.0;0.0
;;148adfcaa27d485b82f323aaaad036bd;2015;;17.11;3.0;8;4.0;4.0;1.0;2.0;2.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;3.0;2.14;3.0;0.0;3.0;100.0;25.0;100.0;0.0;100.0;50.0;0.0
M;58.0;2eeac8d8feae4a8cad5a6af0499a211d;2017;51000.0;15.62;2.0;4;3.0;2.0;1.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;2.0;3.9;2.0;0.0;2.0;66.67;50.0;0.0;0.0;100.0;50.0;0.0
F;61.0;aa4862eba776480b8bb9c68455b8c2e1;2017;57000.0;85.55;15.0;6;5.0;5.0;2.0;3.0;3.0;2.0;1.0;1.0;0.0;1.0;1.0;15.0;0.0;14.26;7.5;7.5;0.0;100.0;40.0;100.0;66.67;100.0;0.0;100.0
M;26.0;e12aeaf2d47d42479ea1c4ac3d8286c6;2014;46000.0;56.22;0.0;11;6.0;1.0;0.0;1.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;5.11;0.0;0.0;0.0;16.67;0.0;100.0;0.0;0.0;0.0;0.0
F;62.0;31dda685af34476cad5bc968bdb01c53;2016;71000.0;160.25;5.0;8;6.0;5.0;2.0;0.0;0.0;0.0;6.0;5.0;2.0;0.0;0.0;0.0;5.0;20.03;2.5;0.0;2.5;83.33;40.0;0.0;0.0;83.33;40.0;0.0
M;49.0;62cf5e10845442329191fc246e7bcea3;2014;52000.0;144.11000000000004;10.0;9;3.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;10.0;0.0;16.01;10.0;10.0;0.0;66.67;50.0;100.0;100.0;0.0;0.0;100.0
;;744d603ef08c4f33af5a61c8c7628d1c;2017;;3.9999999999999996;0.0;5;5.0;5.0;0.0;2.0;2.0;0.0;2.0;2.0;0.0;1.0;1.0;0.0;0.0;0.8;0.0;0.0;0.0;100.0;0.0;100.0;0.0;100.0;0.0;100.0
M;57.0;6445de3b47274c759400cd68131d91b4;2017;42000.0;19.1;3.0;6;5.0;1.0;1.0;2.0;0.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;3.0;3.18;3.0;0.0;3.0;20.0;100.0;0.0;0.0;50.0;100.0;0.0
F;61.0;a448667f336b42c9a66fc5ffd5d73772;2018;40000.0;20.78;0.0;7;3.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.97;0.0;0.0;0.0;66.67;0.0;50.0;0.0;0.0;0.0;100.0
F;40.0;440cf1fd7580490c971d8c651ed962af;2016;71000.0;300.68;9.0;16;5.0;4.0;3.0;0.0;0.0;0.0;5.0;4.0;3.0;0.0;0.0;0.0;9.0;18.79;3.0;0.0;3.0;80.0;75.0;0.0;0.0;80.0;75.0;0.0
M;64.0;4b0da7e80e5945209a1fdddfe813dbe0;2017;100000.0;211.29000000000002;5.0;7;5.0;4.0;1.0;2.0;2.0;0.0;2.0;1.0;1.0;1.0;1.0;0.0;5.0;30.18;5.0;0.0;5.0;80.0;25.0;100.0;0.0;50.0;100.0;100.0
F;78.0;c27e0d6ab72c455a8bb66d980963de60;2017;71000.0;155.45999999999998;2.0;8;6.0;6.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;4.0;4.0;0.0;2.0;19.43;2.0;0.0;2.0;100.0;16.67;100.0;0.0;100.0;100.0;100.0
;;2b826eba31074a059d63b0ae8f50b7d5;2017;;9.82;0.0;5;5.0;5.0;0.0;1.0;1.0;0.0;3.0;3.0;0.0;1.0;1.0;0.0;0.0;1.96;0.0;0.0;0.0;100.0;0.0;100.0;0.0;100.0;0.0;100.0
M;42.0;f806632c011441378d4646567f357a21;2013;69000.0;91.4;14.0;5;4.0;4.0;3.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;10.0;4.0;18.28;4.67;10.0;2.0;100.0;75.0;100.0;100.0;100.0;100.0;100.0
F;56.0;d058f73bf8674a26a95227db098147b1;2018;88000.0;75.62;22.0;3;6.0;6.0;4.0;3.0;3.0;1.0;3.0;3.0;3.0;0.0;0.0;10.0;12.0;25.21;5.5;10.0;4.0;100.0;66.67;100.0;33.33;100.0;100.0;0.0
;;65aba5c617294649aeb624da249e1ee5;2017;;31.91;2.0;16;5.0;4.0;1.0;2.0;2.0;0.0;3.0;2.0;1.0;0.0;0.0;0.0;2.0;1.99;2.0;0.0;2.0;80.0;25.0;100.0;0.0;66.67;50.0;0.0
F;33.0;c6c9884912c645429f3333f912b55f44;2017;52000.0;17.9;2.0;9;6.0;2.0;1.0;1.0;0.0;0.0;5.0;2.0;1.0;0.0;0.0;0.0;2.0;1.99;2.0;0.0;2.0;33.33;50.0;0.0;0.0;40.0;50.0;0.0
F;46.0;7429a044884842d6862f516c38b1156f;2017;59000.0;2.88;0.0;1;4.0;1.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;2.88;0.0;0.0;0.0;25.0;0.0;100.0;0.0;0.0;0.0;0.0
M;59.0;ebe7ef46ea6f4963a7dd49f501b26779;2015;41000.0;52.08;2.0;13;6.0;4.0;1.0;2.0;0.0;0.0;2.0;2.0;1.0;2.0;2.0;0.0;2.0;4.01;2.0;0.0;2.0;66.67;25.0;0.0;0.0;100.0;50.0;100.0
M;67.0;5917d13f6fa04286abdf95f4d5cefb1e;2014;96000.0;206.88;11.0;8;4.0;3.0;3.0;2.0;1.0;1.0;2.0;2.0;2.0;0.0;0.0;5.0;6.0;25.86;3.67;5.0;3.0;75.0;100.0;50.0;100.0;100.0;100.0;0.0
O;53.0;d1ede868e29245ea91818a903fec04c6;2017;52000.0;18.740000000000002;0.0;5;5.0;3.0;0.0;3.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;3.75;0.0;0.0;0.0;60.0;0.0;66.67;0.0;0.0;0.0;100.0
M;22.0;1e9420836d554513ab90eba98552d0a9;2017;70000.0;106.38;25.0;6;6.0;6.0;3.0;3.0;3.0;2.0;2.0;2.0;1.0;1.0;1.0;20.0;5.0;17.73;8.33;10.0;5.0;100.0;50.0;100.0;66.67;100.0;50.0;100.0
F;96.0;868317b9be554cb18e50bc68484749a2;2017;89000.0;81.92;5.0;4;5.0;2.0;1.0;2.0;1.0;1.0;2.0;0.0;0.0;1.0;1.0;5.0;0.0;20.48;5.0;5.0;0.0;40.0;50.0;50.0;100.0;0.0;0.0;100.0
M;40.0;f082d80f0aac47a99173ba8ef8fc1909;2016;33000.0;40.94;0.0;14;6.0;4.0;0.0;5.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.92;0.0;0.0;0.0;66.67;0.0;60.0;0.0;0.0;0.0;100.0
F;69.0;102e9454054946fda62242d2e176fdce;2016;57000.0;213.49;30.0;14;6.0;5.0;4.0;4.0;4.0;4.0;0.0;0.0;0.0;2.0;1.0;30.0;0.0;15.25;7.5;7.5;0.0;83.33;80.0;100.0;100.0;0.0;0.0;50.0
;;4beeb3ed64dd4898b0edf2f6b67426d3;2016;;21.819999999999997;5.0;6;4.0;2.0;1.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;5.0;0.0;3.64;5.0;5.0;0.0;50.0;50.0;50.0;100.0;0.0;0.0;100.0
M;56.0;8dabe2142cdf4013a6f4786edf8ab00f;2014;68000.0;167.67000000000002;5.0;9;3.0;2.0;1.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;0.0;0.0;5.0;18.63;5.0;0.0;5.0;66.67;50.0;0.0;0.0;100.0;50.0;0.0
F;26.0;9f30b375d7bd4c62a884ffe7034e09ee;2017;63000.0;73.38000000000001;5.0;21;3.0;3.0;2.0;0.0;0.0;0.0;2.0;2.0;2.0;1.0;1.0;0.0;5.0;3.49;2.5;0.0;2.5;100.0;66.67;0.0;0.0;100.0;100.0;100.0
;;25c906289d154b66bf579693f89481c9;2018;;12.000000000000002;5.0;4;6.0;5.0;1.0;2.0;2.0;1.0;3.0;2.0;0.0;1.0;1.0;5.0;0.0;3.0;5.0;5.0;0.0;83.33;20.0;100.0;50.0;66.67;0.0;100.0
M;75.0;6e014185620b49bd98749f728747572f;2015;40000.0;155.53;5.0;10;4.0;3.0;2.0;1.0;1.0;0.0;3.0;2.0;2.0;0.0;0.0;0.0;5.0;15.55;2.5;0.0;2.5;75.0;66.67;100.0;0.0;66.67;100.0;0.0
F;20.0;02c083884c7d45b39cc68e1314fec56c;2016;30000.0;29.889999999999997;0.0;10;2.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.99;0.0;0.0;0.0;50.0;0.0;100.0;0.0;0.0;0.0;0.0
M;45.0;c0d210398dee4a0895b24444a5fcd1d2;2018;33000.0;61.25;18.0;8;5.0;5.0;3.0;3.0;3.0;2.0;1.0;1.0;1.0;1.0;1.0;15.0;3.0;7.66;6.0;7.5;3.0;100.0;60.0;100.0;66.67;100.0;100.0;100.0
M;61.0;8b70ca1f5f5a45bdac2ac2f990b71526;2017;98000.0;234.42999999999995;3.0;8;5.0;4.0;1.0;3.0;3.0;0.0;2.0;1.0;1.0;0.0;0.0;0.0;3.0;29.3;3.0;0.0;3.0;80.0;25.0;100.0;0.0;50.0;100.0;0.0
;;5b8f1f0e0930464f93bb55e59b5a04e0;2014;;7.31;0.0;5;2.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;1.46;0.0;0.0;0.0;100.0;0.0;0.0;0.0;100.0;0.0;0.0
;;8be4463721e14d7fa600686bf8c8b2ed;2017;;51.71;2.0;16;5.0;3.0;1.0;1.0;1.0;0.0;4.0;2.0;1.0;0.0;0.0;0.0;2.0;3.23;2.0;0.0;2.0;60.0;33.33;100.0;0.0;50.0;50.0;0.0
F;69.0;8e7c7465e98c43d8a01f51e2b5c29542;2013;37000.0;32.72;0.0;12;5.0;3.0;0.0;3.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;2.73;0.0;0.0;0.0;60.0;0.0;66.67;0.0;50.0;0.0;0.0
